2026-06-01 17:38:40 | INFO    | __main__ | Logging to: logs/bot_sim_20260601_173840.log
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | ================================================================================
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | Applying Polymarket Gamma-API patches (loguru-instrumented)
2026-06-01 17:39:04 | INFO    | patches.gamma_markets |   platform: win32  using_httpx_fallback: True
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | ================================================================================
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | [gamma] patched build_markets_query (array params)
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | [gamma] patched PolymarketInstrumentProvider.load_all_async
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | [gamma] patched PolymarketDataLoader._fetch_event_by_slug (Windows-safe httpx)
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | ================================================================================
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | [gamma] all patches applied successfully
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | ================================================================================
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | [gamma] verify: build_markets_query slug is list: True
2026-06-01 17:39:04 | INFO    | patches.gamma_markets | [gamma] verify: load_all_async is patched: True
2026-06-01 17:39:04 | INFO    | __main__ | Starting bot: simulation=False test_mode=False grafana=True
2026-06-01 17:39:24 | WARNING | bot.runner | Redis connection failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2026-06-01 17:39:24 | WARNING | bot.runner | Simulation mode will be static (from .env)
2026-06-01 17:39:24 | INFO    | bot.runner | ================================================================================
2026-06-01 17:39:24 | INFO    | bot.runner | LOADING BTC 15-MIN MARKETS BY SLUG
2026-06-01 17:39:24 | INFO    | bot.runner |   Interval start: 1780349400 | Count: 98
2026-06-01 17:39:24 | INFO    | bot.runner |   First: btc-updown-15m-1780348500  Last: btc-updown-15m-1780435800
2026-06-01 17:39:24 | INFO    | bot.runner | ================================================================================
2026-06-01 17:39:24 | INFO    | bot.runner | Polymarket wallet config: signature_type=2 (POLY_GNOSIS_SAFE)
2026-06-01 17:39:24 | INFO    | bot.runner |   Funder (USDC holder): 0x23342a623A760cf11cFdc1736f8B05cf7A70A3F4
2026-06-01 17:39:24 | INFO    | core.strategy.processors.spike | Initialized Spike Detector: deviation=8.0%, velocity=3.0%, lookback=20
2026-06-01 17:39:24 | INFO    | core.strategy.processors.sentiment | Initialized Sentiment Processor: fear<25, greed>75
2026-06-01 17:39:24 | INFO    | core.strategy.processors.divergence | Initialized Price Divergence Processor: momentum=0.3%, extreme_fade=68%/32%
2026-06-01 17:39:24 | INFO    | core.strategy.processors.orderbook | Initialized OrderBook Processor: imbalance=30%, wall=20%, min_vol=$50
2026-06-01 17:39:24 | INFO    | core.strategy.processors.tick_velocity | Initialized Tick Velocity Processor: 60s=1.5%, 30s=1.0%
2026-06-01 17:39:24 | INFO    | core.strategy.processors.deribit_pcr | Initialized Deribit PCR Processor: bullish>1.2, bearish<0.7, max_dte=2d
2026-06-01 17:39:24 | INFO    | core.strategy.processors.liquidation | Initialized Liquidation Processor: window=60s, min=$0.5M, imbalance=65%
2026-06-01 17:39:24 | INFO    | core.strategy.processors.funding_oi | Initialized Funding+OI Processor: bullish<-0.0300%, bearish>0.0500%
2026-06-01 17:39:24 | INFO    | core.strategy.processors.cvd_orderbook | Initialized CVD+OrderBook Processor: window=900s, cvd_threshold=$5M
2026-06-01 17:39:24 | INFO    | core.strategy.processors.ohlcv_momentum | Initialized OHLCV Momentum Processor: RSI(32.0/68.0), BB(0.15/0.85)
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Initialized Signal Fusion Engine
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Default weights: {'SpikeDetection': 0.4, 'PriceDivergence': 0.3, 'SentimentAnalysis': 0.2, 'default': 0.1}
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for OHLCVMomentum: 0.35
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for TickVelocity: 0.30
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for CVDOrderBook: 0.25
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for OrderBookImbalance: 0.25
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for Liquidations: 0.20
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for SpikeDetection: 0.15
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for PriceDivergence: 0.12
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for FundingRateOI: 0.06
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for DeribitPCR: 0.05
2026-06-01 17:39:24 | INFO    | core.strategy.fusion | Set weight for SentimentAnalysis: 0.03
2026-06-01 17:39:24 | INFO    | execution.risk_engine | Initialized Risk Engine: balance=$100.00, max_position=$1.00, max_exposure=$10.00, max_daily_loss=$25.00, max_drawdown=15%
2026-06-01 17:39:24 | INFO    | monitoring.performance_tracker | Initialized Performance Tracker (capital=$1000.0)
2026-06-01 17:39:24 | INFO    | feedback.learning_engine | Initialized Learning Engine (learning_rate=0.1, min_trades=10)
2026-06-01 17:39:24 | INFO    | core.strategy.ml_engine | Initialized ML Prediction Engine: samples=9, active=False, min_edge=7%
