2026-06-01 18:01:56 | INFO    | __main__ | Logging to: logs/bot_sim_20260601_180156.log
2026-06-01 18:03:45 | INFO    | core.strategy.processors.ohlcv_momentum | Initialized OHLCV Momentum Processor: RSI(32.0/68.0), BB(0.15/0.85)
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Initialized Signal Fusion Engine
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Default weights: {'SpikeDetection': 0.4, 'PriceDivergence': 0.3, 'SentimentAnalysis': 0.2, 'default': 0.1}
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for OHLCVMomentum: 0.35
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for TickVelocity: 0.30
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for CVDOrderBook: 0.25
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for OrderBookImbalance: 0.25
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for Liquidations: 0.20
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for SpikeDetection: 0.15
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for PriceDivergence: 0.12
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for FundingRateOI: 0.06
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for DeribitPCR: 0.05
2026-06-01 18:03:45 | INFO    | core.strategy.fusion | Set weight for SentimentAnalysis: 0.03
2026-06-01 18:03:45 | INFO    | execution.risk_engine | Initialized Risk Engine: balance=$100.00, max_position=$1.00, max_exposure=$10.00, max_daily_loss=$25.00, max_drawdown=15%
2026-06-01 18:03:45 | INFO    | monitoring.performance_tracker | Initialized Performance Tracker (capital=$1000.0)
2026-06-01 18:03:45 | INFO    | feedback.learning_engine | Initialized Learning Engine (learning_rate=0.1, min_trades=10)
2026-06-01 18:03:45 | INFO    | core.strategy.ml_engine | Initialized ML Prediction Engine: samples=9, active=False, min_edge=7%
2026-06-01 18:03:47 | INFO    | core.settlement.tracker | SettlementTracker: connected to Chainlink feed (decimals=8)
2026-06-01 18:03:47 | INFO    | core.recording.signal_recorder | SignalRecorder initialised (db=signal_recordings.db)
2026-06-01 18:03:47 | INFO    | bot.strategy | ML edge gate: bet only when |p_up - poly_price| >= 7% (active once ML has 200 samples; currently 9)
2026-06-01 18:03:47 | INFO    | execution.execution_engine | Initialized Execution Engine [DRY RUN]
2026-06-01 18:03:47 | INFO    | monitoring.metrics_exporter | Prometheus metrics initialised — %d metric families registered
2026-06-01 18:03:47 | INFO    | monitoring.metrics_exporter | Initialized Grafana Metrics Exporter (port 8000)
2026-06-01 18:03:47 | INFO    | bot.strategy | ================================================================================
2026-06-01 18:03:47 | INFO    | bot.strategy | INTEGRATED BTC STRATEGY INITIALIZED
2026-06-01 18:03:47 | INFO    | bot.strategy |   All signal processors ready
2026-06-01 18:03:47 | INFO    | bot.strategy |   Risk engine ready
2026-06-01 18:03:47 | INFO    | bot.strategy |   ML engine ready
2026-06-01 18:03:47 | INFO    | bot.strategy |   $1 per trade maximum
2026-06-01 18:03:47 | INFO    | bot.strategy | ================================================================================
2026-06-01 18:03:47 | INFO    | bot.runner | Nautilus node built successfully
