decision_time,direction,confidence,entry_btc,exit_btc,btc_up,correct,pnl,vol_regime,hour
2026-05-02T20:24:00+00:00,long,0.77,78433.48,78429.66,False,False,-1.0,LOW,20
2026-05-02T20:39:00+00:00,short,0.645,78479.5,78430.01,False,True,1.0,LOW,20
2026-05-02T21:09:00+00:00,short,0.645,78513.78,78452.43,False,True,1.0,LOW,21
2026-05-02T21:39:00+00:00,short,0.57,78900.63,78890.65,False,True,1.0,LOW,21
2026-05-02T22:24:00+00:00,long,0.645,78635.93,78632.23,False,False,-1.0,LOW,22
2026-05-02T22:54:00+00:00,short,0.645,78808.76,78785.83,False,True,1.0,LOW,22
2026-05-02T23:09:00+00:00,long,0.6033,78717.76,78735.01,True,True,1.0,LOW,23
2026-05-03T00:39:00+00:00,short,0.6773,78676.99,78633.15,False,True,1.0,LOW,0
2026-05-03T00:54:00+00:00,long,0.6773,78500.0,78493.48,False,False,-1.0,LOW,0
2026-05-03T01:24:00+00:00,long,0.6773,78255.72,78256.5,True,True,1.0,LOW,1
2026-05-03T01:39:00+00:00,long,0.6773,78194.99,78227.2,True,True,1.0,LOW,1
2026-05-03T02:24:00+00:00,long,0.6033,78126.86,78113.06,False,False,-1.0,LOW,2
2026-05-03T02:54:00+00:00,short,0.645,78190.42,78165.22,False,True,1.0,LOW,2
2026-05-03T03:39:00+00:00,short,0.6033,78191.73,78141.37,False,True,1.0,LOW,3
2026-05-03T04:09:00+00:00,long,0.645,78120.01,78167.55,True,True,1.0,LOW,4
2026-05-03T04:24:00+00:00,short,0.645,78220.63,78229.1,True,False,-1.0,LOW,4
2026-05-03T05:09:00+00:00,short,0.645,78243.87,78245.97,True,False,-1.0,LOW,5
2026-05-03T06:39:00+00:00,short,0.616,78151.76,78139.99,False,True,1.0,LOW,6
2026-05-03T10:09:00+00:00,long,0.6033,78473.61,78491.26,True,True,1.0,LOW,10
2026-05-03T10:24:00+00:00,long,0.645,78450.56,78430.59,False,False,-1.0,LOW,10
2026-05-03T11:24:00+00:00,long,0.77,78501.21,78508.71,True,True,1.0,LOW,11
2026-05-03T12:09:00+00:00,short,0.6033,78753.7,78819.55,True,False,-1.0,LOW,12
2026-05-03T13:24:00+00:00,long,0.6637,78682.81,78647.45,False,False,-1.0,LOW,13
2026-05-03T14:24:00+00:00,long,0.7095,78647.42,78674.44,True,True,1.0,LOW,14
2026-05-03T15:39:00+00:00,long,0.7095,78694.25,78701.77,True,True,1.0,LOW,15
2026-05-03T16:39:00+00:00,short,0.6033,78735.44,78723.2,False,True,1.0,LOW,16
2026-05-03T17:24:00+00:00,short,0.645,78766.89,78741.74,False,True,1.0,LOW,17
2026-05-03T17:54:00+00:00,long,0.645,78734.34,78731.65,False,False,-1.0,LOW,17
2026-05-03T18:09:00+00:00,long,0.645,78681.02,78651.42,False,False,-1.0,LOW,18
2026-05-03T18:54:00+00:00,short,0.6033,78737.82,78739.67,True,False,-1.0,LOW,18
2026-05-03T19:39:00+00:00,short,0.6033,78790.0,78814.99,True,False,-1.0,LOW,19
2026-05-03T20:24:00+00:00,short,0.645,78930.05,78925.62,False,True,1.0,LOW,20
2026-05-03T20:54:00+00:00,long,0.6033,78870.11,78900.45,True,True,1.0,LOW,20
2026-05-03T21:09:00+00:00,short,0.645,78980.01,79008.38,True,False,-1.0,LOW,21
2026-05-03T21:24:00+00:00,long,0.77,78947.87,78917.43,False,False,-1.0,LOW,21
2026-05-03T21:39:00+00:00,long,0.645,78869.99,78716.02,False,False,-1.0,LOW,21
2026-05-03T23:24:00+00:00,long,0.57,78755.26,78701.75,False,False,-1.0,LOW,23
2026-05-04T00:24:00+00:00,long,0.6773,78350.01,78356.9,True,True,1.0,LOW,0
2026-05-04T01:54:00+00:00,short,0.5985,79251.52,79812.59,True,False,-1.0,LOW,1
2026-05-04T02:39:00+00:00,short,0.645,79942.71,80113.84,True,False,-1.0,LOW,2
2026-05-04T02:54:00+00:00,long,0.77,80253.87,80163.51,False,False,-1.0,LOW,2
2026-05-04T03:39:00+00:00,long,0.645,80003.19,79991.02,False,False,-1.0,LOW,3
2026-05-04T04:09:00+00:00,short,0.6033,80434.16,80498.28,True,False,-1.0,LOW,4
2026-05-04T05:24:00+00:00,long,0.6033,80048.02,79994.56,False,False,-1.0,LOW,5
2026-05-04T09:24:00+00:00,long,0.616,79718.6,79692.89,False,False,-1.0,LOW,9
2026-05-04T10:09:00+00:00,long,0.57,78825.78,78674.62,False,False,-1.0,LOW,10
2026-05-04T10:24:00+00:00,long,0.57,78256.08,78516.89,True,True,1.0,LOW,10
2026-05-04T11:39:00+00:00,long,0.675,78760.36,78759.79,False,False,-1.0,NORMAL,11
2026-05-04T12:24:00+00:00,short,0.645,78959.56,78967.6,True,False,-1.0,LOW,12
2026-05-04T13:54:00+00:00,long,0.7095,78776.87,78782.44,True,True,1.0,LOW,13
2026-05-04T14:09:00+00:00,long,0.7095,78544.44,79000.0,True,True,1.0,LOW,14
2026-05-04T14:24:00+00:00,short,0.627,79274.91,79272.27,False,True,1.0,LOW,14
2026-05-04T14:39:00+00:00,long,0.6637,79516.9,79680.0,True,True,1.0,LOW,14
2026-05-04T14:54:00+00:00,short,0.627,80457.69,80279.79,False,True,1.0,LOW,14
2026-05-04T15:09:00+00:00,long,0.7095,80081.61,80210.47,True,True,1.0,LOW,15
2026-05-04T15:24:00+00:00,short,0.6637,79538.72,79670.16,True,False,-1.0,LOW,15
2026-05-04T16:54:00+00:00,long,0.675,80105.36,80053.85,False,False,-1.0,NORMAL,16
2026-05-04T17:09:00+00:00,short,0.645,80344.31,80387.44,True,False,-1.0,LOW,17
2026-05-04T17:39:00+00:00,long,0.645,80322.14,80311.33,False,False,-1.0,LOW,17
2026-05-04T18:24:00+00:00,long,0.645,80239.94,80258.27,True,True,1.0,LOW,18
2026-05-04T18:54:00+00:00,long,0.645,80045.99,80103.41,True,True,1.0,LOW,18
2026-05-04T20:39:00+00:00,long,0.645,79909.47,79968.59,True,True,1.0,LOW,20
2026-05-04T21:09:00+00:00,short,0.645,80093.77,80127.41,True,False,-1.0,LOW,21
2026-05-04T21:24:00+00:00,short,0.645,80275.75,80244.28,False,True,1.0,LOW,21
2026-05-04T22:39:00+00:00,long,0.645,80139.05,80132.0,False,False,-1.0,LOW,22
2026-05-04T23:09:00+00:00,long,0.645,79917.27,79917.34,True,True,1.0,LOW,23
2026-05-05T00:24:00+00:00,long,0.8085,79875.47,79906.57,True,True,1.0,LOW,0
2026-05-05T00:39:00+00:00,short,0.6335,80057.1,80068.29,True,False,-1.0,LOW,0
